x_slam y_slam yaw_imu x_odom y_odom
5.65 6.85 0.324014 -0.727738 1.89736
5.7 6.85 0.371107 -0.680479 1.9139
5.7 6.85 0.410843 -0.640034 1.93024
5.8 6.9 0.435379 -0.593636 1.95105
5.8 6.9 0.447192 -0.567094 1.96358
5.9 6.9 0.447575 -0.520877 1.98574
5.9 6.9 0.447576 -0.481293 2.00475
5.95 6.95 0.434072 -0.441494 2.02372
5.95 6.95 0.414607 -0.401354 2.04204
6.05 7 0.386023 -0.354002 2.06231
6.05 7 0.346736 -0.319521 2.0757
6.1 7.05 0.306405 -0.27764 2.09022
6.1 7.05 0.267 -0.23523 2.10305
6.2 7.05 0.227014 -0.192309 2.11421
6.2 7.05 0.188232 -0.148982 2.12363
6.3 7.1 0.147536 -0.10536 2.13132
6.3 7.1 0.107324 -0.0614028 2.13728
6.4 7.1 0.0680158 -0.0173189 2.14148
6.4 7.1 0.0279747 0.0269832 2.14393
6.4 7.1 -0.0113622 0.071258 2.14462
6.45 7.1 -0.0513834 0.115603 2.14355
6.45 7.1 -0.0926171 0.159783 2.14071
6.6 7.1 -0.132677 0.203878 2.13605
6.6 7.1 -0.163893 0.254928 2.1285
6.7 7.1 -0.185553 0.291172 2.12216
6.7 7.1 -0.205524 0.341685 2.11225
6.75 7.1 -0.223933 0.377585 2.10447
6.75 7.1 -0.224117 0.420499 2.09464
6.85 7.1 -0.20792 0.463314 2.08508
6.85 7.1 -0.188437 0.506169 2.07631
6.85 7.1 -0.168328 0.556396 2.06715
6.95 7.05 -0.149287 0.592431 2.0613
6.95 7.05 -0.137729 0.635854 2.055
6.95 7.05 -0.146762 0.686585 2.04786
7.05 7.05 -0.171958 0.715851 2.04334
7.05 7.05 -0.219568 0.766617 2.03397
7.05 7.05 -0.280678 0.809788 2.02343
7.2 7 -0.340498 0.852327 2.01028
7.2 7 -0.401836 0.900699 1.9918
7.35 7 -0.461711 0.941142 1.97321
7.35 7 -0.521601 0.974025 1.95585
7.4 6.95 -0.567944 1.01211 1.93315
7.4 6.95 -0.607864 1.04917 1.90883
7.5 6.9 -0.648656 1.09106 1.87867
7.5 6.9 -0.688331 1.12018 1.85586
7.55 6.85 -0.728383 1.14857 1.83206
7.55 6.85 -0.768967 1.18672 1.79737
7.55 6.85 -0.809054 1.2182 1.76612
7.65 6.8 -0.848983 1.24838 1.73367
7.65 6.8 -0.889295 1.27722 1.70004
7.65 6.8 -0.928733 1.3047 1.66527
7.7 6.7 -0.969351 1.33077 1.62945
7.7 6.7 -1.00889 1.35539 1.59257
7.7 6.7 -1.04893 1.3822 1.54844
7.8 6.6 -1.08922 1.40012 1.51605
7.8 6.6 -1.12871 1.4233 1.46994
7.8 6.6 -1.16924 1.43859 1.43623
7.9 6.5 -1.20857 1.4554 1.39525
7.9 6.5 -1.24862 1.47294 1.34663
7.9 6.5 -1.28828 1.48614 1.30437
7.95 6.4 -1.32828 1.49589 1.26864
7.95 6.4 -1.3678 1.50599 1.22551
7.95 6.4 -1.4078 1.51437 1.18196
8 6.25 -1.44712 1.52101 1.13812
8 6.25 -1.48381 1.52591 1.0941
8 6.25 -1.50371 1.52948 1.05004
8 6.15 -1.52313 1.53217 1.00602
8 6.15 -1.54327 1.53399 0.961877
8 6.15 -1.56237 1.53502 0.910481
8 6 -1.56811 1.53518 0.873749
8 6 -1.56763 1.53531 0.829776
8 6 -1.56761 1.53545 0.785787
8 5.9 -1.56284 1.53566 0.734546
8 5.9 -1.5389 1.53608 0.705211
8 5.75 -1.49912 1.53821 0.654461
8 5.75 -1.45822 1.5419 0.611043
8 5.65 -1.41826 1.54842 0.560648
8 5.65 -1.37812 1.55323 0.531793
8 5.65 -1.33759 1.56342 0.482085
8.05 5.6 -1.29761 1.57405 0.439755
8.05 5.6 -1.25966 1.58632 0.398007
8.05 5.45 -1.24124 1.60004 0.356422
8.05 5.45 -1.24726 1.61427 0.314771
8.05 5.45 -1.26583 1.62802 0.272964
8.05 5.4 -1.2864 1.641 0.230719
8.05 5.4 -1.30582 1.65311 0.188331
8.05 5.4 -1.32583 1.66441 0.145618
8.1 5.25 -1.3453 1.67484 0.102755
8.1 5.25 -1.37867 1.68434 0.0595346
8.15 5.15 -1.41807 1.69339 0.00870792
8.15 5.15 -1.45988 1.69928 -0.0352453
8.15 5.05 -1.52544 1.70251 -0.0723222
8.15 5.05 -1.61641 1.7033 -0.11696
8.2 4.95 -1.71607 1.69883 -0.169008
8.2 4.95 -1.81591 1.69019 -0.213037
8.2 4.85 -1.92032 1.67965 -0.248936
8.2 4.85 -2.03863 1.66268 -0.290615
8.15 4.8 -2.1584 1.63679 -0.336247
8.15 4.8 -2.28883 1.60963 -0.372078
8.15 4.7 -2.42857 1.58325 -0.39906
8.15 4.7 -2.56852 1.54776 -0.427078
8.1 4.65 -2.70889 1.5021 -0.453144
8.1 4.65 -2.84895 1.45986 -0.469279
8.1 4.65 -2.98839 1.42319 -0.478121
8 4.55 -3.1286 1.37823 -0.48302
8 4.55 3.01513 1.32568 -0.480761
8 4.55 2.87846 1.29449 -0.475081
7.9 4.55 2.84717 1.29121 -0.474146
7.9 4.55 2.84717 1.28932 -0.473572
7.8 4.5 2.85225 1.28713 -0.472911
7.8 4.5 2.87223 1.28567 -0.472485
7.8 4.55 2.89224 1.28363 -0.471932
7.8 4.55 2.91225 1.28215 -0.471565
7.8 4.55 2.93227 1.28037 -0.471157
7.8 4.55 2.95226 1.27798 -0.470666
7.8 4.55 2.97225 1.2744 -0.470012
7.8 4.55 2.99229 1.27124 -0.469494
7.8 4.55 3.01196 1.26699 -0.468881
7.8 4.55 3.03051 1.25628 -0.467575
7.8 4.55 3.02438 1.24761 -0.46663
7.8 4.55 3.036 1.22931 -0.464473
7.75 4.55 3.07852 1.20884 -0.462592
7.75 4.55 3.12027 1.18612 -0.461456
7.7 4.55 -3.11444 1.16137 -0.461329
7.7 4.55 -3.05744 1.13455 -0.462539
7.65 4.55 -2.99727 1.10558 -0.465543
7.65 4.55 -2.93522 1.07133 -0.471437
7.6 4.55 -2.87523 1.0508 -0.476144
7.6 4.55 -2.81527 1.01558 -0.486288
7.55 4.55 -2.75671 0.98491 -0.497311
7.55 4.55 -2.70958 0.945803 -0.51421
7.55 4.55 -2.69276 0.915889 -0.528333
7.5 4.5 -2.69185 0.873969 -0.548534
7.5 4.5 -2.69173 0.843899 -0.563052
7.4 4.5 -2.70397 0.807794 -0.58041
7.4 4.5 -2.73745 0.765177 -0.599719
7.4 4.5 -2.77744 0.73398 -0.612474
7.3 4.45 -2.82601 0.696097 -0.62632
7.3 4.45 -2.886 0.657349 -0.638156
7.3 4.45 -2.94554 0.611412 -0.648987
7.2 4.4 -3.00545 0.578116 -0.654776
7.2 4.4 -3.06551 0.537712 -0.659521
7.2 4.4 -3.12277 0.495829 -0.661962
7.1 4.35 3.09866 0.451784 -0.661902
7.1 4.35 3.03932 0.407394 -0.659154
7.1 4.35 2.98967 0.363273 -0.653872
6.95 4.35 2.94882 0.319654 -0.646597
6.95 4.35 2.91724 0.276268 -0.637607
6.95 4.35 2.902 0.233421 -0.62754
6.85 4.35 2.90208 0.190699 -0.617105
6.85 4.35 2.90095 0.147965 -0.606667
6.85 4.35 2.90112 0.105303 -0.596206
6.7 4.4 2.90108 0.0625606 -0.585725
6.7 4.4 2.90016 0.0128736 -0.573505
6.7 4.4 2.90022 -0.0227987 -0.564723
6.6 4.4 2.90058 -0.0654587 -0.554208
6.6 4.4 2.91733 -0.10809 -0.543928
6.6 4.4 2.93624 -0.150865 -0.534457
6.45 4.45 2.95973 -0.200833 -0.524495
6.45 4.45 3.02405 -0.236652 -0.518675
6.45 4.45 3.13906 -0.279279 -0.515065
6.35 4.45 -2.97209 -0.321766 -0.517139
6.35 4.45 -2.77051 -0.362722 -0.526832
6.35 4.45 -2.54943 -0.4065 -0.548435
6.2 4.5 -2.30427 -0.43341 -0.570527
6.2 4.5 -2.03962 -0.458569 -0.603375
6.2 4.5 -1.81357 -0.470254 -0.630018
6.1 4.45 -1.78461 -0.471406 -0.634703
6.1 4.45 -1.78446 -0.471689 -0.636003
6.1 4.45 -1.78433 -0.472179 -0.638265
6.05 4.4 -1.78423 -0.472838 -0.641305
6.05 4.4 -1.78425 -0.474619 -0.649522
6.05 4.4 -1.78467 -0.477465 -0.662643
6.05 4.4 -1.79016 -0.480707 -0.677548
6.05 4.4 -1.81822 -0.48643 -0.702135
6.05 4.4 -1.80886 -0.493148 -0.729352
6.05 4.35 -1.80917 -0.501263 -0.762785
6.05 4.35 -1.82109 -0.510533 -0.800411
6.05 4.35 -1.8186 -0.521194 -0.842424
6 4.25 -1.81976 -0.53376 -0.892059
6 4.25 -1.81963 -0.542805 -0.927647
6 4.25 -1.81964 -0.553641 -0.970295
6 4.15 -1.82067 -0.566281 -1.01989
6 4.15 -1.82057 -0.575363 -1.05548
5.95 4 -1.82174 -0.586238 -1.09805
5.95 4 -1.82157 -0.597154 -1.14065
5.9 3.95 -1.8226 -0.609866 -1.19026
5.9 3.95 -1.82259 -0.617206 -1.21879
5.9 3.85 -1.82256 -0.629976 -1.26843
5.9 3.85 -1.82363 -0.640944 -1.31096
5.9 3.75 -1.82352 -0.653762 -1.36058
5.9 3.75 -1.82472 -0.661126 -1.38908
5.85 3.7 -1.82453 -0.673986 -1.43866
5.85 3.7 -1.82529 -0.685032 -1.48126
5.85 3.6 -1.82555 -0.697924 -1.53078
5.85 3.6 -1.8255 -0.705352 -1.55931
5.8 3.5 -1.83019 -0.718274 -1.60884
5.8 3.5 -1.98911 -0.730178 -1.64703
5.8 3.45 -2.24285 -0.739682 -1.66364
5.8 3.45 -2.45621 -0.752841 -1.67811
5.8 3.35 -2.62744 -0.765634 -1.6875
5.8 3.35 -2.75454 -0.776279 -1.69299
5.8 3.35 -2.83647 -0.784617 -1.69612
5.75 3.35 -2.87276 -0.787135 -1.69688
5.75 3.35 -2.87477 -0.787903 -1.6971
5.75 3.35 -2.87482 -0.787891 -1.69709
5.75 3.35 -2.87487 -0.787877 -1.69709
5.75 3.35 -2.87492 -0.787867 -1.69709
5.75 3.35 -2.87498 -0.787855 -1.69709
5.75 3.35 -2.87503 -0.787841 -1.69708
5.75 3.35 -2.87508 -0.787831 -1.69708
5.75 3.35 -2.87513 -0.787817 -1.69707
5.75 3.35 -2.87519 -0.787807 -1.69707
