x_slam y_slam yaw_imu x_odom y_odom
14.05 5.4 -0.964727 4.38871 0.716305
14.05 5.4 -0.979764 4.41352 0.679805
14.1 5.35 -0.937765 4.43831 0.643962
14.1 5.35 -0.847585 4.46519 0.610362
14.1 5.3 -0.727682 4.49536 0.579843
14.1 5.3 -0.580059 4.52899 0.553854
14.2 5.2 -0.402564 4.5662 0.533656
14.2 5.2 -0.222663 4.60639 0.520379
14.2 5.2 -0.04346 4.64829 0.5145
14.25 5.15 0.136884 4.69056 0.516203
14.25 5.15 0.306714 4.73199 0.525286
14.25 5.15 0.447453 4.75975 0.535689
14.25 5.15 0.4743 4.76327 0.537444
14.25 5.15 0.474162 4.76476 0.538208
14.25 5.15 0.474187 4.76902 0.540396
14.1 5.15 0.474572 4.77913 0.545589
14.1 5.15 0.470429 4.79441 0.553424
14.1 5.15 0.454208 4.81219 0.562393
14.1 5.15 0.391643 4.83465 0.572564
14.15 5.15 0.313184 4.86167 0.5826
14.15 5.15 0.237991 4.89173 0.59117
14.15 5.15 0.158116 4.92378 0.597703
14.2 5.15 0.0777451 4.95624 0.60165
14.2 5.15 0.007465 4.98322 0.602989
14.2 5.15 -0.0525349 5.02128 0.602412
14.2 5.15 -0.112004 5.05369 0.599806
14.2 5.15 -0.173803 5.08569 0.595286
14.2 5.15 -0.235701 5.11915 0.588432
14.15 5.15 -0.293181 5.15406 0.579076
14.15 5.15 -0.33572 5.18859 0.567949
14.15 5.1 -0.376236 5.22266 0.555372
14.15 5.1 -0.415081 5.25678 0.541203
14.2 5.1 -0.440476 5.29159 0.525397
14.2 5.1 -0.463093 5.32734 0.50806
14.2 5.1 -0.482879 5.36326 0.489731
14.2 5.1 -0.487774 5.40029 0.470175
14.2 5.1 -0.487445 5.43105 0.453858
14.2 5.1 -0.48774 5.46816 0.434187
14.2 5.1 -0.488281 5.50519 0.414525
14.2 5.05 -0.475463 5.54224 0.394952
14.2 5.05 -0.460014 5.58677 0.372331
14.2 5 -0.439626 5.62617 0.353247
14.2 5 -0.410512 5.66583 0.33513
14.2 5 -0.370355 5.70613 0.318426
14.2 5 -0.330933 5.74703 0.303366
14.4 4.95 -0.290283 5.78853 0.289912
14.4 4.95 -0.250958 5.83052 0.27813
14.55 4.9 -0.214095 5.87292 0.268017
14.55 4.9 -0.200165 5.91583 0.259068
14.65 4.9 -0.201194 5.95886 0.250315
14.65 4.9 -0.207618 6.00202 0.241481
14.7 4.85 -0.27221 6.04518 0.23139
14.7 4.85 -0.409891 6.08793 0.216833
14.7 4.85 -0.582529 6.12815 0.195699
14.8 4.85 -0.783363 6.16409 0.167446
14.8 4.85 -1.00538 6.19319 0.132689
14.9 4.8 -1.13111 6.20561 0.110642
14.9 4.8 -1.13914 6.20679 0.108099
14.95 4.75 -1.13933 6.20763 0.106286
14.95 4.75 -1.14038 6.20931 0.10263
14.95 4.75 -1.14093 6.21397 0.0924682
14.95 4.75 -1.13852 6.22156 0.075941
15 4.75 -1.10659 6.23161 0.0548315
15 4.75 -1.11158 6.24578 0.0266704
15 4.7 -1.11818 6.263 -0.00863341
15 4.7 -1.1174 6.28223 -0.0481156
15 4.65 -1.11785 6.30148 -0.0876501
15 4.65 -1.11717 6.32072 -0.127163
15.1 4.55 -1.1251 6.33998 -0.166792
15.1 4.55 -1.14912 6.35868 -0.206826
15.15 4.45 -1.19079 6.37614 -0.247499
15.15 4.45 -1.25008 6.38918 -0.282063
15.15 4.45 -1.30943 6.40259 -0.324461
15.15 4.4 -1.36973 6.41506 -0.375045
15.15 4.4 -1.42909 6.42287 -0.418816
15.2 4.25 -1.48911 6.42806 -0.463057
15.2 4.25 -1.5485 6.4306 -0.50745
15.2 4.25 -1.60856 6.43049 -0.551984
15.2 4.15 -1.66804 6.42772 -0.596378
15.2 4.15 -1.72899 6.42228 -0.640496
15.2 4.05 -1.78887 6.41417 -0.684281
15.2 4.05 -1.85028 6.40348 -0.727404
15.2 3.95 -1.91424 6.39013 -0.769835
15.2 3.95 -1.99417 6.37369 -0.811403
15.2 3.85 -2.0754 6.35401 -0.851414
15.2 3.85 -2.15538 6.33112 -0.889802
15.15 3.8 -2.23515 6.30524 -0.926235
15.15 3.8 -2.31615 6.27655 -0.960413
15.1 3.7 -2.3958 6.24517 -0.99223
15.1 3.7 -2.47435 6.21139 -1.02143
15.05 3.65 -2.5563 6.17534 -1.04782
15.05 3.65 -2.6361 6.13731 -1.07125
15.05 3.65 -2.71647 6.09753 -1.09157
15 3.6 -2.79617 6.05626 -1.10864
15 3.6 -2.87607 6.01371 -1.12238
14.85 3.5 -2.9558 5.97028 -1.13267
14.85 3.5 -3.03586 5.92609 -1.13946
14.8 3.5 -3.11516 5.88156 -1.14272
14.8 3.5 3.08782 5.83685 -1.14242
14.8 3.5 3.00848 5.79238 -1.13856
14.7 3.45 2.92747 5.74831 -1.13117
14.7 3.45 2.84705 5.70506 -1.12024
14.7 3.45 2.76699 5.66273 -1.10584
14.55 3.5 2.68577 5.6218 -1.08816
14.55 3.5 2.60563 5.58233 -1.06716
14.45 3.5 2.52602 5.54469 -1.04309
14.45 3.5 2.44474 5.50914 -1.01611
14.35 3.55 2.36512 5.47585 -0.986332
14.35 3.55 2.28307 5.44501 -0.953958
14.35 3.55 2.2048 5.41694 -0.919307
14.3 3.6 2.12476 5.39167 -0.882431
14.3 3.6 2.04491 5.36944 -0.843705
14.3 3.6 1.96468 5.35038 -0.803303
14.2 3.7 1.88529 5.33461 -0.761521
14.2 3.7 1.80497 5.32406 -0.725962
14.2 3.7 1.7255 5.31328 -0.674843
14.15 3.85 1.64557 5.30785 -0.630466
14.15 3.85 1.56605 5.30599 -0.585856
14.15 3.85 1.48606 5.30714 -0.548775
14.1 3.85 1.40612 5.31294 -0.496789
14.1 3.85 1.32455 5.32175 -0.453083
14.1 3.85 1.24462 5.33174 -0.417341
14.1 3.85 1.16412 5.34978 -0.36828
14.1 3.85 1.0833 5.36534 -0.334687
14.1 3.85 1.2827 5.38019 -0.30838
14.1 3.85 1.46185 5.38968 -0.2974
14.1 3.85 1.57602 5.39254 -0.289568
14.1 3.85 1.57526 5.39252 -0.289471
14.15 3.85 1.57326 5.3925 -0.289464
14.15 3.85 1.57419 5.39251 -0.289468
14.15 3.85 1.57499 5.3925 -0.289465
14.15 3.85 1.57395 5.39251 -0.289468
14.15 3.85 1.57516 5.3925 -0.289465
14.15 3.85 1.57501 5.39251 -0.289469
14.15 3.85 1.57497 5.39248 -0.289465
14.15 3.85 1.57509 5.39248 -0.289469
14.15 3.85 1.57352 5.39247 -0.289464
14.15 3.85 1.57305 5.39247 -0.289466
14.15 3.85 1.57514 5.39246 -0.289466
14.15 3.85 1.57412 5.39248 -0.289468
14.15 3.85 1.57516 5.39247 -0.289466
14.15 3.85 1.575 5.39248 -0.289468
14.15 3.85 1.57495 5.39244 -0.289465
14.15 3.85 1.57441 5.39244 -0.290474
